Acoustic,1
Alt. rock,1
Alternative country,1
Alternative,1
Anti-folk,1
Concrete,1
Folk rock,1
Genre, Count
Hip-hop,1
Lo-fi,2
Psychedelic,1
R&B,1
Rap,1
Rock,2
Soul,1
Southern rock,1
Thrash,1
Twee pop,1
